id,tags,question,gold_answer,llm_only_answer,nsla_answer,nsla_v2_answer,nsla_iter_answer,llm_only_correct,nsla_correct,nsla_v2_correct,nsla_iter_correct,llm_only_EM,nsla_EM,nsla_v2_EM,nsla_iter_EM,llm_only_F1,nsla_F1,nsla_v2_F1,nsla_iter_F1,bleu_score_llm,bleu_score_nsla,bleu_score_nsla_v2,bleu_score_nsla_iter,judge_vote,judge_confidence,judge_rationale,v2_judge_vote,v2_judge_confidence,v2_judge_rationale,llm_only_time,nsla_time,nsla_v2_time,nsla_iter_time,verified,v2_feedback_status,v2_missing_links,v2_guardrail_ok,v2_guardrail_issues,v2_fallback_used,v2_explanation,v2_feedback_v1_status,v2_llm_status,iter_status,iter_missing_links,iter_conflicts,iter_guardrail_ok,iter_guardrail_issues,iter_iterations,iter_llm_status,delta_f1_v2_vs_v1,delta_f1_iter_vs_v2,error
case_001,"contrattuale,formazione_contratto",Quali sono gli elementi costitutivi di un contratto valido secondo il diritto italiano?,"Un contratto è valido solo se sussistono cinque requisiti fondamentali: accordo tra le parti, causa lecita, oggetto possibile lecito e determinato, e osservanza della forma prescritta dalla legge quando richiesta. La mancanza anche di uno solo di tali elementi determina la nullità dell'atto.","Secondo il diritto italiano, per la validità di un contratto sono necessari quattro elementi costitutivi fondamentali, previsti dagli artt. 1325 e seguenti del Codice Civile:

1. **Accordo tra le parti (consenso)**: deve esserci una corrispondenza tra la dichiarazione di volontà di una parte (proposta) e quella dell’altra (accettazione). Il consenso deve essere libero, consapevole e non viziato da errori, violenza o dolo.

2. **Causa**: è la ragione giuridica dell’accordo, cioè l’interesse o il motivo che induce le parti a contrarre. Deve essere lecita, possibile e determinata o determinabile.

3. **Oggetto**: è la prestazione che una parte si obbliga a fare, fare o non fare. Deve essere possibile, lecito, determinato o determinabile.

4. **Forma**: salvo eccezioni legali, il contratto si perfeziona con il semplice scambio di consenso (forma libera), ma in alcuni casi la legge richiede una forma specifica (ad esempio scritta, con atto pubblico o scrittura privata) per la validità o la prova.

Se anche solo uno di questi elementi manca o è difettoso, il contratto può essere nullo, annullabile o inefficace.","Per il codice civile italiano (artt. 1321-1372) un contratto è valido quando concorrono quattro elementi: 1) accordo (consenso) fra le parti sul contenuto essenziale; 2) causa, cioè la funzione economico-sociale perseguita; 3) oggetto determinato o determinabile e giuridicamente trasferibile; 4) forma richiesta dalla legge (in genere consensuale, ma talvolta scritta ad substantiam o ad probationem).","SI – il programma logico v2 include esplicitamente la query ContrattoValido(A,C) fra le conclusioni della regola, rendendo ora dimostrabile la validità del contratto a partire dai quattro requisiti canonici (consenso, capacità, causa, oggetto, forma).","SÌ – il contratto è valido: tutti e quattro gli elementi essenziali (consenso delle parti, capacità contrattuale, causa lecita, oggetto determinato e forma prescritta) sono esplicitamente asseriti e la regola li collega correttamente a ContrattoValido(A,C).",False,False,False,False,0,0,0,0,21.52,28.26,13.89,27.78,0.0,5.97,0.0,0.04,tie,0.0,,tie,0.0,Judge metric disabled.,8.66675050000049,10.448414300000877,29.19488210000054,52.83177810000052,True,consistent_no_entailment,ContrattoValido,True,0,False,Il programma logico è coerente ma non implica ancora la conclusione. Mancano collegamenti o premesse aggiuntive. Feedback sintetico: Il sistema è coerente ma la conclusione non è dimostrabile.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,ContrattoValido,,True,0,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",-14.37,13.89,
case_002,"responsabilita_civile,colpa",Quando si configura la responsabilità civile per colpa?,"La responsabilità civile per colpa si configura quando il soggetto viola un dovere di diligenza, provoca un danno ingiusto e tra condotta ed evento si accerta il nesso causale. I tre elementi devono concorrere congiuntamente.","La responsabilità civile per colpa si configura quando una persona, nel compiere un’azione (o un’omissione), non osserva la diligenza richiesta dalla natura dell’attività e cagiona, a titolo di dolo o colpa, un danno ingiusto ad altri (art. 2043 c.c.). In sintesi: c’è colpa quando il comportamento è contrario al “bonus pater familias”, cioè non corrisponde a quello di un uomo diligente, provocando un danno ingiusto.","La responsabilità civile per colpa si configura quando vi sia un comportamento negligente o imprudente del soggetto obbligato, tale da determinare un danno ingiusto verso un altro soggetto.","SI – la responsabilità civile per colpa si configura quando un soggetto viola il dovere di diligenza (negligenza, imprudenza, imperizia) causando un danno ingiusto; la regola richiede condotta colposa, danno, nesso causale e imputabilità psicologica.","SI – la responsabilità civile per colpa si configura quando il soggetto ha posto in essere un comportamento negligente (violazione del dovere di diligenza del “bonus pater familias”), tale da cagionare un danno ingiusto e risarcibile, e vi sia un nesso causale tra condotta e danno.",False,False,False,False,0,0,0,0,31.82,41.38,56.25,52.78,14.94,23.97,26.61,28.78,tie,0.0,,,0.0,,4.768081499998516,9.257483299999876,45.16342649999933,50.5332688999988,True,consistent_no_entailment,ResponsabilitaContrattuale,False,2,True,Il programma logico generato non ha superato i controlli di sicurezza. È stata mantenuta la risposta precedente oppure è richiesto un nuovo refinement.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,ResponsabilitaContrattuale,,True,0,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",14.87,-3.47,
case_003,"obbligazioni,inadempimento",Che differenza c'è tra inadempimento e ritardo nell'adempimento di un'obbligazione?,"L'inadempimento è la mancata esecuzione definitiva della prestazione dovuta, mentre il semplice ritardo è un adempimento tardivo che può essere sanato se il creditore lo accetta e non subisce pregiudizi essenziali.","Nel diritto italiano, la distinzione tra **inadempimento** e **ritardo nell’adempimento** (detto anche **mora**) è importante perché comporta effetti giuridici diversi.

**Inadempimento** è il mancato adempimento totale o parziale di un’obbligazione, cioè quando il debitore non esegue affatto la prestazione dovuta, o la esegue in modo difettoso o non conforme. Può essere, ad esempio, la consegna di una cosa diversa da quella pattuita, o il mancato pagamento del prezzo. L’inadempimento può dar luogo a risoluzione del contratto, risarcimento del danno, o altre misure previste dalla legge o dal contratto.

**Ritardo nell’adempimento** (o **mora**) si verifica quando il debitore, pur potendo adempiere, **non lo fa entro il termine stabilito**. In altre parole, il debitore è in ritardo pur potendo eseguire la prestazione. Perché si configuri la mora, è necessario che la prestazione sia **esigibile** e che il debitore sia **interpellato** (cioè richiamato) ad adempiere, salvo i casi in cui il termine è essenziale o stabilito per iscritto. La mora comporta la responsabilità del debitore per il ritardo, che può includere il risarcimento del danno e, in alcuni casi, la risoluzione del contratto.

In sintesi:  
- **Inadempimento** = mancata esecuzione (totale o parziale) dell’obbligazione.  
- **Ritardo (mora)** = esecuzione tardiva, ma possibile, dell’obbligazione.","L'inadempimento è l'omessa o non corretta esecuzione dell'obbligazione, mentre il ritardo è solo una forma specifica di inadempimento consistente nell'esecuzione tardiva ma altrimenti conforme. Il ritardo presuppone che l'adempimento sia ancora possibile e non abbia perso interesse per il creditore, a differenza dell'inadempimento che può anche essere definitivo.",SI – il programma dimostra che esiste inadempimento senza ritardo (es. adempimento inesatto o impossibilità).,NO – il programma non collega il ritardo (Mora) al danno patrimoniale e al nesso causale richiesti da art. 1218 c.c.; pertanto la responsabilità contrattuale non risulta dimostrabile.,False,False,False,False,0,0,0,0,18.42,30.99,18.18,18.52,0.0,0.0,0.0,0.0,tie,0.0,,,0.0,,12.424607500001002,12.18800360000023,42.27533500000209,68.48919849999947,True,consistent_no_entailment,and,False,5,True,Il programma logico generato non ha superato i controlli di sicurezza. È stata mantenuta la risposta precedente oppure è richiesto un nuovo refinement.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,ResponsabilitaContrattuale,,False,2,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",-12.8,0.34,
case_004,"illecito_civile,risarcimento_danno",Quali sono i presupposti per il risarcimento del danno da fatto illecito?,"Il risarcimento per fatto illecito richiede la combinazione di un comportamento antigiuridico, un danno ingiusto e il nesso causale che collega la condotta all'evento lesivo, oltre alla prova dell'ammontare del pregiudizio.","Per ottenere il risarcimento del danno da fatto illecito occorrono tre presupposti cumulativi, stabiliti dall’art. 2043 c.c.:

1. Fatto (condotta) umano, positivo o omissivo, che sia antigiuridico, cioè contrario a norme di legge o a precetti dell’ordine pubblico e del buon costume.  
2. Danno ingiusto e certo, patrimoniale o non patrimoniale, subito dalla vittima.  
3. Nesso di causalità (c.d. rapporto di adeguata causalità) tra il fatto e il pregiudizio, con la possibilità di imputare al responsabile l’evento dannoso.  

Se questi elementi concorrono, il danneggiato ha diritto al risarcimento in forma specifica (restituzione in natura) o, in subordine, in forma equivalente (risarcimento per equivalente in denaro).","I presupposti per il risarcimento del danno da fatto illecito sono: un comportamento umano (fatto), la sua illiceità (violazione di una norma giuridica), il danno concreto subito dal danneggiato, il nesso causale tra fatto e danno, e la colpa (salvo i casi di responsabilità oggettiva).",NO – manca la prova del nesso causale tra l’evento di inadempimento e il danno patrimoniale; senza tale collegamento la responsabilità contrattuale non è dimostrabile.,"SI – i quattro presupposti (fatto illecito, danno patrimoniale, nesso causale e colpa) sono tutti esplicitati negli assiomi e la regola di responsabilità aquiliana consente la derivazione del risarcimento.",False,False,False,False,0,0,0,0,25.69,43.08,34.62,25.45,0.03,0.06,0.0,0.0,tie,0.0,,tie,0.0,Judge metric disabled.,6.141134800000145,7.567212499998277,35.73592359999748,62.87433370000144,True,consistent_no_entailment,ResponsabilitaContrattuale,True,0,False,Il programma logico è coerente ma non implica ancora la conclusione. Mancano collegamenti o premesse aggiuntive. Feedback sintetico: Il sistema è coerente ma la conclusione non è dimostrabile.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,RisarcimentoIllecito,,False,4,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",-8.46,-9.16,
case_005,"contrattuale,contratto_adesione",Cosa si intende per contratto di adesione?,"Per contratto di adesione si intende l'accordo predisposto unilateralmente da una parte, spesso professionista, al quale l'altra parte può soltanto aderire integralmente senza poter negoziare clausole singole.","Per contratto di adesione si intende un contratto le cui clausole sono predeterminate da una delle parti (generalmente il professionista o l’impresa) e l’altra parte (il consumatore o l’aderente) può solo accettarle o rifiutarle, senza poterle modificare. In altre parole, il contenuto del contratto è imposto unilateralmente e non è oggetto di negoziazione tra le parti.","Il contratto di adesione è quel tipo di contratto le cui clausole sono predeterminate da una parte (detta «autore» del contratto) e l’altra parte può solo accettarle o rifiutarle, senza poterle modificare.",NO – il programma non riesce a dimostrare che il consumatore può solo accettare o rifiutare perché manca il collegamento esplicito tra “clausole predeterminate dal professionista” e “contratto di adesione” nel corpo della regola.,"YES – il contratto è di adesione perché le sue clausole sono predeterminate dal professionista, non negoziabili dal consumatore e questi può solo accettare o rifiutare, il che soddisfa la definizione di contratto di adesione.",False,False,False,False,0,0,0,0,35.14,32.14,6.78,21.05,10.69,0.06,0.0,0.0,tie,0.0,,tie,0.0,Judge metric disabled.,3.721027600000525,5.27438809999876,30.048779699998704,43.35756820000097,True,consistent_no_entailment,PuoSoloAccettareOppureRifiutare,True,0,False,Il programma logico è coerente ma non implica ancora la conclusione. Mancano collegamenti o premesse aggiuntive. Feedback sintetico: Il sistema è coerente ma la conclusione non è dimostrabile.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,ContrattoAdesione,,True,0,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",-25.36,14.27,
case_006,"successioni,testamento",Quali sono i requisiti per la validità di un testamento olografo?,"Il testamento olografo è valido solo se interamente autografo, datato e sottoscritto dal testatore; la firma deve essere posta alla fine del documento e la data indicare giorno, mese e anno.","Perché un testamento olografo sia valido, il Codice civile (art. 602) richiede che:

1. sia scritto **per intero** (data, disposizioni e firma) **dalla mano del testatore**;
2. sia **datato** (giorno, mese e anno) **dal testatore stesso**;
3. reci **la firma autografa** del testatore **in calce** (alla fine del testo).

Mancando anche solo uno di questi tre elementi, il testamento è **nullo**.","Per essere valido, il testamento olografo deve essere interamente scritto, datato e sottoscritto dal testatore con data certa; deve risultare chiara la volontà del testatore; deve essere conservato dal testatore o consegnato a persona di fiducia; non richiede forme particolari ma deve risultare autografo e completo in ogni sua parte.","YES – il programma v2 collega correttamente i requisiti (scritto, data, firma) al predicato obiettivo TestamentoOlografoValido; la query risulta derivabile.",SI – con l’aggiunta dell’assioma che identifica il soggetto ‘test’ come il redattore del testamento il sistema riesce a derivare TestamentoOlografoValido(t).,False,False,False,False,0,0,0,0,24.69,40.58,8.33,12.77,0.0,9.45,0.0,0.0,tie,0.0,,,0.0,,3.2373612000010326,8.39893260000099,31.445108199997776,43.92715129999851,True,consistent_no_entailment,TestamentoOlografoValido,False,9,True,Il programma logico generato non ha superato i controlli di sicurezza. È stata mantenuta la risposta precedente oppure è richiesto un nuovo refinement.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,TestamentoOlografoValido,,False,7,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",-32.25,4.43,
case_007,"penale,reato_permanente",Quando si applica la disciplina del reato permanente?,Si parla di reato permanente quando la condotta antigiuridica perdura nel tempo e l'offesa cessa solo quando termina l'azione; il termine di prescrizione decorre dalla cessazione della permanenza.,"La disciplina del reato permanente si applica quando l’evento tipico consiste in un’attività o in un’omissione che si protrae nel tempo, in modo tale che il reato continua a consumarsi per tutta la durata della condotta. In altre parole, il reato permanente si verifica quando la condotta illecita non si esaurisce in un momento preciso, ma permane nel tempo, finché l’agente non pone fine alla sua attività o omissione. Un esempio classico è il sequestro di persona, che continua finché la vittima resta privata della libertà personale.","La disciplina del reato permanente si applica quando l’efficacia offensiva dell’illecito si protrae nel tempo, così che il reato si considera ancora in corso finché permane la situazione lesiva o il comportamento dell’agente (es. occupazione di immobile, sequestro di persona, omissione di reintegro).",NO – mancano i fatti di base (reato permanente concretamente instaurato) e la relativa disciplina non risulta applicabile.,"NO – la disciplina del reato permanente non è modellata nel programma, che verte solo su responsabilità contrattuale; occorre aggiungere i predicati specifici (es. ReatoPermanente, FattoPermanente) e la relativa regola di applicazione.",False,False,False,False,0,0,0,0,22.99,25.81,18.18,24.56,0.04,0.0,0.0,0.0,tie,0.0,,,0.0,,4.860982199999853,9.538415099999838,28.190108200000395,46.80130529999951,True,consistent_no_entailment,ApplicazioneDisciplinaReatoPermanente,False,7,True,Il programma logico generato non ha superato i controlli di sicurezza. È stata mantenuta la risposta precedente oppure è richiesto un nuovo refinement.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,ResponsabilitaContrattuale,,True,0,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",-7.62,6.38,
case_008,"penale,pene_pecuniarie",Qual è la differenza tra multa e ammenda nel diritto penale italiano?,"Multa e ammenda sono pene pecuniarie: la multa si applica ai delitti ed è graduata per quote in base alle condizioni economiche del reo, l'ammenda riguarda le contravvenzioni e ha importi minimi e massimi prefissati.",,,,,False,False,False,False,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0,,,0.0,,12.85940020000271,9.908550100000866,420.7342224999993,0.0,False,,,,0,False,,,{},,,,,0,0,{},0.0,0.0,HTTP 500 from /legal_query_v2_iterative
case_009,"diritto_reale,usucapione",In cosa consiste l'usucapione per i beni immobili?,"L'usucapione immobiliare consente di acquistare la proprietà per effetto di un possesso pubblico, pacifico, ininterrotto e con animus domini protratto per vent'anni, salvo termini abbreviati previsti dalla legge.","L’usucapione per i beni immobili è un modo di acquistare la proprietà (o altri diritti reali) continuando a possedere il bene per un tempo determinato, con determinate caratteristiche.  

Per l’immobile occorrono **almeno 20 anni** di possesso (ridotti a **10 anni** se il possidente ha «buona fede» e «giusto titolo»).  

I requisiti essenziali sono:  

1. **Possesso**: materiale e non interrotto.  
2. **Natura del possesso**: deve essere **pubblico, pacifico, continuo, non ambiguo** (art. 1140 c.c.).  
3. **Tempo**: 20 anni ordinari; 10 anni se concorrono **buona fede** (ignoranza del difetto di titolo) e **giusto titolo** (atto valido tra le parti, anche se inefficace verso terzi, ad es. una compravendita non trascritta).  

Alla scadenza del termine, chi ha posseduto può **domandare al tribunale** (con azione di usucapione) una sentenza dichiarativa di acquisto; la trascrizione di tale sentenza nell’ufficio ipotecaria rende la proprietà **opponibile a tutti**.",Risposta generica (modalità dummy) alla domanda: 'In cosa consiste l'usucapione per i beni immobili?'.,NO – manca l’elemento “titolo idoneo” per la usucapione abbreviata (10 anni) e la durata ventennale per quella ordinaria; pertanto l’usucapione non è dimostrabile.,NO – mancano il possesso come proprietario e la durata ventennale richiesta per l’usucapione ordinaria.,False,False,False,False,0,0,0,0,14.49,10.0,12.5,19.51,2.64,0.0,0.0,0.0,tie,0.0,,,0.0,,7.466155300000537,14.752273400001286,40.97967710000012,45.56004290000055,True,consistent_no_entailment,UsucapioneOrdinaria,False,1,True,Il programma logico generato non ha superato i controlli di sicurezza. È stata mantenuta la risposta precedente oppure è richiesto un nuovo refinement.,consistent_no_entailment,"{""Refinement LLM"": ""ok"", ""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok""}",consistent_no_entailment,UsucapioneOrdinaria,,False,3,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",2.5,7.01,
case_010,"responsabilita_civile,colpa",Quali sono gli elementi della colpa in diritto civile?,"Gli elementi della colpa sono l'esistenza di un dovere di diligenza, la sua violazione, la prevedibilità dell'evento dannoso e la relazione causale tra condotta e danno. Solo se tutti sono presenti si configura colpa civilistica.","Nel diritto civile italiano la colpa (art. 2043 c.c. e seguenti) si compone di tre elementi:

1. **Elemento soggettivo (culpa)**: la psicologica consapevolezza, da parte dell’agente, di avere posto in essere un comportamento non conforme al dovere di diligenza.  
   – Si valuta sulla base del «buon padre di famiglia» (art. 1176 c.c.): l’ordinaria diligenza richiesta dalla natura dell’attività e dalle concrete circostanze.  
   – Può essere lieve, media o grave, ma basta la colpa «lieve» per la responsabilità extracontrattuale.

2. **Elemento oggettivo (imprudenza, imperizia, negligenza)**: il concreto comportamento lesivo che si discosta dal modello di diligenza esigibile.  
   – *Negligenza*: omissione di cautela.  
   – *Imprudenza*: adozione di cautela insufficiente.  
   – *Imperizia*: difetto di capacità tecnica.

3. **Nesso di imputazione (elemento causale)**: la condotta colposa deve essere la causa naturale e adeguata del danno; se la stessa conseguenza si sarebbe verificata anche senza il comportamento negligente, la colpa non è sufficiente a fondare la responsabilità.

In sintesi: colpa civile = dovere di diligenza → inosservanza (culpa) → danno → nesso causale.","La colpa in diritto civile richiede tre elementi: la prevedibilità del danno (il risultato dannoso doveva essere prevedibile secondo l’esperienza comune), la evitabilità del danno (il risultato poteva essere evitato osservando la diligenza del “buon padre di famiglia”), e la violazione del dovere di diligenza (il comportamento adottato è stato meno diligente di quello del “buon padre di famiglia” e tale violazione ha causato il danno).","NO – mancano il danno patrimoniale e il nesso causale tra inadempimento e danno, quindi la responsabilità contrattuale non è dimostrabile.","SI – la responsabilità contrattuale è dimostrabile: tutti gli elementi richiesti (obbligo, inadempimento, danno patrimoniale, nesso causale e colpa) risultano dagli assiomi forniti.",False,False,False,False,0,0,0,0,11.84,18.92,16.67,26.92,0.0,0.0,0.0,0.0,tie,0.0,,,0.0,,11.755917399997998,14.547976699999708,48.138087899998936,60.41398709999703,True,consistent_no_entailment,ResponsabilitaContrattuale,False,1,True,Il programma logico generato non ha superato i controlli di sicurezza. È stata mantenuta la risposta precedente oppure è richiesto un nuovo refinement.,consistent_no_entailment,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",consistent_no_entailment,ResponsabilitaContrattuale,,True,0,2,"{""Canonicalizer"": ""ok"", ""Structured Extractor"": ""ok"", ""Refinement LLM"": ""ok""}",-2.25,10.26,
